Ruta;Nombre;Extension;LoTengo;Editorial;EstadoARG;EstadoJPN;UltimoTomoARG;UltimoTomoJPN;Siguiendo
Mangas/ChainsawMan/;ChainsawMan07;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan08;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan09;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan10;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan11;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan12;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan13;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan14;.jpg;No;Ivrea;En curso;En curso;15;17;Si
Mangas/alternativas/;ChainsawMan14_alt;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan14_alt;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan15;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/DGrayMan/;D.Gray-Man01;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man02;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man03;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man04;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man05;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man06;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man07;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man08;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man09;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man10;.jpg;Si;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man11;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man12;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man13;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man14;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man15;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man16;.jpg;No;Ivrea;En curso;En curso;28;28;No
